"","Site","Habitat.Type.2014","Mode_Habitat_Type","Core.Increment.cm","Percent.Moisture","Bulk.Density.g.cm.3","LOI.percent","TC.percent","TC.g.cm.3","min.depth.cm","max.depth.cm","TC.g.m.2.per.cm"
"39","2825","Brackish","Fresh","16-18",78.80401146,0.102905766,66.5548296,28.96452386,0.029806165,"16","18",298.06165
"40","2825","Brackish","Fresh","22-24",79.9923562,0.079984908,68.57381499,29.82521733,0.023855673,"22","24",238.55673
"41","2825","Brackish","Fresh","38-40",83.25918956,0.091515366,77.1352075,33.47493896,0.030634713,"38","40",306.34713
"42","2825","Brackish","Fresh","58-60",82.50428274,0.098566566,79.48866938,34.47821976,0.033983997,"58","60",339.83997
"43","2825","Brackish","Fresh","78-80",83.11610947,0.095268876,81.55314758,35.35830681,0.033685461,"78","80",336.85461
"44","2825","Brackish","Fresh","98-100",84.5048812,0.108523299,80.29123776,34.82035466,0.037788198,"98","100",377.88198
"45","3565","Brackish","Brackish","0-2",50.49833453,0.096501372,32.53445177,14.46163679,0.013955678,"0","2",139.55678
"46","3565","Brackish","Brackish","2-4",38.17729149,0.07208573,40.50464807,17.85933147,0.012874029,"2","4",128.74029
"47","3565","Brackish","Brackish","4-6",56.78330188,0.088630205,34.64441796,15.36111538,0.013614588,"4","6",136.14588
"48","3565","Brackish","Brackish","8-10",60.00893229,0.171013896,18.96137268,8.675433173,0.014836196,"8","10",148.36196
"49","3565","Brackish","Brackish","12-14",64.82437014,0.156931867,24.30094373,10.95169231,0.017186695,"12","14",171.86695
"50","3565","Brackish","Brackish","16-18",68.86063538,0.148811145,27.93358448,12.50028707,0.01860182,"16","18",186.0182
"51","3565","Brackish","Brackish","22-24",72.65841536,0.14946559,30.9137534,13.77073308,0.020582507,"22","24",205.82507
"52","3565","Brackish","Brackish","38-40",77.33964453,0.11837308,42.22643554,18.59332947,0.022009497,"38","40",220.09497
"53","3565","Brackish","Brackish","58-60",82.96740015,0.107089632,75.3416416,32.71034181,0.035029385,"58","60",350.29385
"54","3565","Brackish","Brackish","78-80",81.79376022,0.105447153,77.20909228,33.50643604,0.035331583,"78","80",353.31583
"55","3565","Brackish","Brackish","98-100",73.70227341,0.098148944,65.20958621,28.3910466,0.027865512,"98","100",278.65512
